Mandarin	Vietnamese
科威特	Cô-oét
语言	ngôn ngữ
”	”
1月	thg 1
库页	Sakhalin
萨哈林	Sakhalin
盖娅	Gaia
魔术师	phù thủy
妖人	phù thủy
巫师	phù thủy
觋	phù thủy
铍	berili
平野	đồng bằng
平原	đồng bằng
笈多王朝	Gupta
奥布省	Aube
邮件	bưu kiện
邮政	bưu kiện
邮票	tem
委内瑞拉玻利瓦尔	Bolívar Venezuela
银行	băng
银行	ngân hàng
銀行	băng
銀行	ngân hàng
龙头	vòi
VEF	VEF
野麻科	Datiscaceae
琉璃明王	Vua Yuri
从前	ngày xửa ngày xưa
查克·艾佛朗	Zac Efron
卓越	xuất sắc
卓越	ưu
卓越	tuyệt vời
出色	xuất sắc
出色	ưu
出色	tuyệt vời
优秀	xuất sắc
优秀	ưu
优秀	tuyệt vời
优异	xuất sắc
优异	ưu
优异	tuyệt vời
棒	xuất sắc
棒	ưu
棒	tuyệt vời
高超	xuất sắc
高超	ưu
高超	tuyệt vời
极好	xuất sắc
极好	ưu
极好	tuyệt vời
美国	Hoa Kỳ
䀡	xem
幼虫	ấu trùng
距离	khỏang cách
嵌入式系统	Hệ thống nhúng
谓词	xác lập
复合字符	kí tự dựng sẵn
噪	tháo
拖船	tàu kéo
大头菜	su hào
苤蓝	su hào
撇蓝	su hào
擘蓝	su hào
三Q	cám ơn
谢谢	cám ơn
多谢	cám ơn
康瓦耳语	tiếng Cornwall
康瓦耳语	tiếng xứ Cornwall
牙科医生	thầy thuốc chữa răng
牙医	thầy thuốc chữa răng
近	gần
克罗地亚语	tiếng Cro-xi-an
海洛因	bạch phiến
英雄	anh hùng
勇士	anh hùng
ΜTorrent	UTorrent
亚伯·塔斯曼	Abel Tasman
夏时制	Quy ước giờ mùa hè
刘伯承	Lưu Bá Thừa
差不多	hầu như
差不多	gần
差不多	gần như
差点	hầu như
差点	gần
差点	gần như
几乎	hầu như
几乎	gần
几乎	gần như
差一点	hầu như
差一点	gần
差一点	gần như
熶	chói
阇耶跋摩八世	Jayavarman VIII
奈比多	Naypyidaw
飞翔的荷兰人号	Người Hà Lan bay
窣堵坡	hài cốt
窣堵坡	vị
窣堵坡	chứa
窣堵坡	tháp
窣堵坡	sư
铬	crom
速度	vận tốc
墨镜	kính râm
太阳眼镜	kính râm
太阳镜	kính râm
法属圭亚那	Guiana thuộc Pháp
阿尔巴尼亚	Albania
宽阔	rộng
宽	rộng
宽广	rộng
翁本杜文	Tiếng Umbundu
最大值	cực trị
豆	đậu
豆	đậu
耶诞老人	ông già Nô en
耶诞老人	ông già Noel
耶诞老人	ông già Santa
圣诞老人	ông già Nô en
圣诞老人	ông già Noel
圣诞老人	ông già Santa
麻醉	gây mê
麻醉	gây tê
奢	xa
奢	xa
拉普拉塔河	Sông La Plata
洞	hang
洞穴	hang
石窟	hang
洞窟	hang
小时	giờ
天	ngày
可扩展置标语言	XML
中国人民解放军海军	Hải quân Quân giải phóng Nhân dân Trung Quốc
纳茜菜科	Họ Cỏ sao
詹姆斯·瓦特	James Watt
狮	sư tử
狮子	sư tử
法罗群岛	Quần Đảo Faroe
法罗群岛	Quần đảo Faroe
丽	Hàn Quốc
丽	Triều Tiên
朝鲜	Hàn Quốc
朝鲜	Triều Tiên
平壤	Bình Nhưỡng
歌	ca
忝	thỏm
现金	tiền mặt
现款	tiền mặt
现钱	tiền mặt
血型	nhóm
皇冠	mũ miện
王冠	mũ miện
冠冕	mũ miện
湿	ướt
半岛	bán đảo
凉山彝族自治州	Lương Sơn
威斯敏斯特宫	Cung điện Westminster
鎵	gali
釓	gađolini
Active Directory 域服务	Dịch vụ miền danh mục hiện hoạt
Active Directory	Thư mục Họat động
Active Directory 联系人	Địa chỉ Active Directory
Active Directory 连接器	Sự Kết nối Thư mục Hoạt động
主動式內容	nội dung hiện hoạt
由	bằng cách
由	theo cách
用	bằng cách
用	theo cách
貘	heo vòi
旁	kề
旁	bên
旁	bên cạnh
旁	gần
旁	cạnh
芬兰马克	Đồng Markka Phần Lan
瘿椒树科	Huerteales
铁匠	thợ rèn
自定义词典	từ điển chuyên biệt
自定义安装	cài đặt chuyên biệt
自訂安裝	thiết lập chuyên biệt
自定义组字段	trường nhóm chuyên biệt
自定义组	nhóm chuyên biệt
冰山	núi băng trôi
破冰船	tàu phá băng
袋	bao
包	bao
伊尔96	Il-96
萌	manh
手雷	lựu đạn
空军	không quân
US$	US$
嘉年华会	hội trá hình
嘉年华会	các-na-van
嘉年华会	hội hóa trang
狂欢节	hội trá hình
狂欢节	các-na-van
狂欢节	hội hóa trang
硅橡胶	silic
重新启动	khởi động lại
亲戚	người thân
亲戚	thân nhân
亲戚	họ hàng
法庭	tòa án
仲裁庭	tòa án
$	$
蛋	trứng gà
YUM	YUM
YUD	YUD
方解石	canxit
莫尔比昂省	Morbihan
玻色-爱因斯坦凝聚	ngưng tụ Bose
古腾堡计划	Dự án Gutenberg
凤仙花科	Họ Bóng nước
割	cắt
割	cắt
ABBA	ABBA
梵蒂冈	Vatican
花	hoa
压力	áp lực
阿斯塔纳	Astana
芦笋	măng tây
乌兹别克斯坦夏令时间	Giờ Mùa Hè Uzbekistan
安德胡伊	Andkhoy
大津	Ōtsu
世界七大奇迹	bảy kỳ quan thế giới cổ đại
列支敦士登	Liechtenstein
列支敦斯登	Liechtenstein
短袜	bít tất
短袜	tất
短袜	vớ
袜子	bít tất
袜子	tất
袜子	vớ
城镇	thị trấn
城镇	thành phố
城镇	tỉnh
镇	thị trấn
镇	thành phố
镇	tỉnh
城	thị trấn
城	thành phố
城	tỉnh
城市	thị trấn
城市	thành phố
城市	tỉnh
多	đa
多	đa
鹅	ngỗng
卡拉·布鲁尼	Carla Bruni
T-34坦克	Xe tăng T-34
金奈	Chennai
江夏区	Giang Hạ
犰狳	động vật không răng
分类	phân loại
海滨	bờ biển
海边	bờ biển
MVR	MVR
Colin Cotterill	Colin Cotterill
啱	nhàm
弍	nhị
明石海峡大桥	Cầu Akashi-Kaikyo
奭	tức giận
忿怒	tức giận
火大	tức giận
生气	tức giận
娜塔莉·波特曼	Natalie Portman
卢瓦尔省	Loire
察合台	Sát Hợp Đài
王后	hoàng-hậu
王后	nữ-hoàng
后	hoàng-hậu
后	nữ-hoàng
女王	hoàng-hậu
女王	nữ-hoàng
首	thủ
首	thủ
𠲓	hàng
阿勃勒	Muồng hoàng yến
数据	dữ liệu
数据	số liệu
浮萍科	Bèo tấm
玻色子	boson
磷灰石	apatit
铕	europi
真空	chân không
鸽	chim bồ câu
鸽子	chim bồ câu
鹁鸽	chim bồ câu
嵎	giủng
Scheme	Scheme
六月	Bhadra
七月	Asvina
天主教	công giáo
烟斗	tẩu
烟斗	điếu
烟斗	píp
烟斗	điếu tẩu
雍正帝	Ung Chính
晋城市	Tấn Thành
虎跳峡	Hổ Khiêu Hiệp
君士坦丁一世	Constantine I
塞尔维亚语	tiếng Xéc-bi
蜻蜓	con chuồn chuồn
公鸡	gà trống
挑	vẹo
太原市	Thái Nguyên
电化学	hóa lý
澳大利亚绿党	Đảng Xanh Úc
签署	chu ky
签名	chu ky
上周	tuần trước
海地	Haiti
生理学	sinh lý học
克非尔	rượu kêfia
哪儿	đâu
哪里	đâu
越南	Việt Nam
比利时	Bỉ
水泥	xi măng
尙	thượng
尙	thượng
尚	chuộng
尚	chuộng
古巴	Cuba
罔	vóng
十一烷	undecan
鸭嘴兽	Thú mỏ vịt
第八	thứ tám
AMD	AMD
彼得罗巴甫洛夫斯克-堪察加夏令时间	Giờ mùa hè Petropavlovsk-Kamchatski
兰卡时间	Giờ Lanka
彼得罗巴甫洛夫斯克-堪察加时间	Giờ Petropavlovsk-Kamchatski
彼得罗巴甫洛夫斯克-堪察加标准时间	Giờ chuẩn Petropavlovsk-Kamchatski
阿克托别标准时间	Giờ Chuẩn Aqtobe
阿克托别夏令时间	Giờ Mùa Hè Aqtobe
澳门标准时间	Giờ Chuẩn Ma Cao
脚印	dấu chân
沼	trẻo
沾	chăm
沾	chăm
三毛	Tam mao
眼睛	đôi mắt
鲸	cá voi
鲸	cá ông
鲸	cá ông voi
鲸	kình ngư
鲸鱼	cá voi
鲸鱼	cá ông
鲸鱼	cá ông voi
鲸鱼	kình ngư
暴	bạo
政治	chính trị
象	voi
大象	voi
天鸽座	Thiên Cáp
门多萨	Mendoza
圣胡安	San Juan
麦克默多	McMurdo
里奥加耶戈斯	Rio Gallegos
戴维斯	Davis
沃斯托克	Vostok
乌斯怀亚	Ushuaia
拉里奥哈	La Rioja
东南亚运动会	Đại hội Thể thao Đông Nam Á
葫芦岛市	Hồ Lô Đảo
平文式罗马字	hệ phiên âm La-tinh Hepburn
黑本式罗马字	hệ phiên âm La-tinh Hepburn
赫本式罗马字	hệ phiên âm La-tinh Hepburn
诗篇	bài thơ
诗篇	thơ
诗	bài thơ
诗	thơ
诗歌	bài thơ
诗歌	thơ
气候	khí hậu
嘴	mồm
格拉哥里文	Chữ Glagolitic
哥特文	Chữ Gô-tích
希腊文	Chữ Hy Lạp
古吉拉特文	Chữ Gujarati
果鲁穆奇文	Chữ Gurmukhi
汉字	Chữ Hán
汉奴罗文	Chữ Hanunoo
简体	Giản thể
简体中文	Chữ Hán giản thể
写	viết
时间	thời gian
时光	thời gian
警方	cảnh sát
公安	cảnh sát
警察	cảnh sát
炼乳	sữa đặc
老挝	Lào
西欧	Tây Âu
女王	nữ hoàng
女皇	nữ hoàng
皇帝	vương
皇帝	vua
皇帝	hoàng đế
国王	vương
国王	vua
国王	hoàng đế
公民	công dân
主人	chủ
主人	chúa
佣人	người ở
仆人	người ở
生物	tạo vật
生物	sinh vật
悬崖	vách đá
峭壁	vách đá
柿	Chi Thị
太阳	Mặt Trời
拭除	xóa
抹去	xóa
擦去	xóa
碉堡	pháo đài
城堡	pháo đài
炮台	pháo đài
堡垒	pháo đài
要塞	pháo đài
德浪河谷战役	Trận Ia Đrăng
香肠	lạp xưởng
腊肠	lạp xưởng
墨西哥	Mexico
夸	khoa
第十	thứ mười
美国化	Mỹ hóa
烊	rang
南非荷兰文	Tiếng Nam Phi
阿弗里希利文	Tiếng Afrihili
阿迪何文	Tiếng Adyghe
阿维斯塔文	Tiếng Avestan
阿肯文	Tiếng Akan
阿卡德文	Tiếng Akkadia
亚罕文	Tiếng Aghem
阿留申文	Tiếng Aleut
不是數字	phi số
自	tự
自	tự
臭	xú
地球化	địa khai hóa
云南	Vân Nam
日本军	Lục quân Đế quốc Nhật Bản
刺猬索尼克	Sonic the Hedgehog
无著	Vô Trước
搜	sưu
患者	kiên nhẫn
病患	kiên nhẫn
笃信宗教的	sùng đạo
笃信宗教的	mộ đạo
信仰	sùng đạo
信仰	mộ đạo
十	thập
尹恩惠	Yoon Eun Hye
光学字符识别	nhận dạng kí tự quang học
新加坡	Singapore
握	cầm
拿	cầm
立	dậy
站	dậy
婚纱	xoa-rê
婚纱	soirée
结婚	cưới
动词	động từ
本乡奏多	Hongo Kanata
天卫二十二	Francisco
小狗	chó con
征服者威廉	William Nhà chinh phạt
灰白	mầu mè
狮心理查	Richard Sư tử tâm
脑	óc
建筑学	kiến trúc
菊豆/temp	Cúc Đậu
地理学	địa lý học
诺亚方舟	Thuyền Nô-ê
希望	hy vọng
愿望	nguồn hy vọng
一	một
哭	khóc
光化作用	quang hợp
光合	quang hợp
光合作用	quang hợp
光能合成	quang hợp
洪水	lụt
洪水	nạn lụt
水灾	lụt
水灾	nạn lụt
洪灾	lụt
洪灾	nạn lụt
陂	bê
旅程	hành trình
旅途	hành trình
旅行	hành trình
旅游	hành trình
占文	Chữ Chăm
吻	hôn
中国	Tàu
中国	Trung Quốc
中国	Trung Hoa
晚上好	xin chào
早上好	xin chào
你好	xin chào
工作	làm việc
工作	làm việc
铼	rheni
法国	Pháp
黎利	Lê Thái Tổ
钟头	giờ
钟头	tiếng
小时	giờ
小时	tiếng
曼尼普尔文	Chữ Meitei Mayek
脚	chân
腿	chân
不	không
大麻	marijuana
大麻	cần sa
药房	khoa bào chế
药房	dược khoa
药房	nhà thuốc
药店	khoa bào chế
药店	dược khoa
药店	nhà thuốc
赵匡胤	Tống Thái Tổ
火箭	tuần lễ
设置	thiết lập
反抗	chống cự
抵抗力	chống cự
抵抗	chống cự
艾萨克·牛顿	Isaac Newton
没有了	chỉ có vậy thôi
没有了	có vậy thôi
结束了	chỉ có vậy thôi
结束了	có vậy thôi
芬兰	Phần Lan
埃塞俄比亚	Ethiopia
埃塞俄比亚	Ê-ti-ô-pi-a
福克兰群岛	Quần Đảo Falkland
福克兰群岛	Quần đảo Falkland
斐济	Phi-gi
斐济岛	Phi-gi
密克罗尼西亚	Mi-crô-nê-xi-a
密克罗尼西亚	Vùng Micronesian
密克罗尼西亚联邦	Mi-crô-nê-xi-a
密克罗尼西亚联邦	Vùng Micronesian
加彭	Ga-bông
加彭	Gabon
加蓬	Ga-bông
加蓬	Gabon
肯塔基州	Kentucky
拓扑	tô pô
拓扑	loại hình
工具提示	Mách nước
頁面邊界	lề trang
爱好	sở thích riêng
嗜好	sở thích riêng
睡觉	ngu
眠	ngu
圣殿骑士团	Hiệp sĩ dòng Đền
解析度	độ phân giải
主服务器	máy chủ thường trực
资源	tài nguyên
外国语	ngoại ngữ
外语	ngoại ngữ
大陆	đại lục
大陆	châu lục
大陆	lục địa
主题	chủ đề
卫慧	Vệ Tuệ
片假名	Chữ Katakana
买	mua
艇	thuyền máy
也门里亚尔	Rial Yemen
银幕	màn ảnh
屏幕	màn ảnh
屏	màn ảnh
编剧	nhà biên kịch
编剧	biên kịch viên
编剧	người viết kịch bản
黑河	Hắc Hà
冥卫二	Nix
石	thạch
蝌蚪	nòng nọc
蝌蚪	óc nóc
蝌蚪	nọc nọc
生理	sinh lý học
生理学	sinh lý học
1季度	Q1
2季度	Q2
第三季度	Quý 3
第四季度	Quý 4
第一季度	Quý 1
第二季度	Quý 2
3	3
3季度	Q3
4季度	Q4
静音	môi trường đa người dùng
路伊吉·皮兰德娄	Luigi Pirandello
数码相片	ảnh số thức
叔	thúc
卡纳达文	Chữ Kannada
狂犬病	bệnh dại
黄龙风景名胜区	Khu thắng cảnh Hoàng Long
中心	trung tâm
中心	trung tâm
中心	tâm
劈开	chẻ
分开	chẻ
葡萄干儿	nho
葡萄干儿	u nho khô
凤梨	dứa
菠萝	dứa
芭	chuối
蕉	chuối
香蕉	chuối
百香	niềm đam mê trái cây
百香	trái chanh dây
百香	trái mác mác
百香果	niềm đam mê trái cây
百香果	trái chanh dây
百香果	trái mác mác
西番莲果	niềm đam mê trái cây
西番莲果	trái chanh dây
西番莲果	trái mác mác
加纳	Ghana
壤	nhưỡng
匈人	Người Hung
俳句	Haiku
奶	sữa
牛奶	sữa
暇	hạ
老挝文	Chữ Lào
家	gia đình
家	họ
家庭	gia đình
家庭	họ
亲属	gia đình
橄榄	cảm lãm
中文数字	mã
中文数字	chữ số Trung Quốc
中国数字	mã
中国数字	chữ số Trung Quốc
中国学	Hán học
中国学	Trung Quốc học
国学	Hán học
国学	Trung Quốc học
汉学	Hán học
汉学	Trung Quốc học
条约	hiệp ước
动物学	động vật học
宗喀语	tiếng Dzongkha
鞍座	yên ngựa
马鞍	yên ngựa
鞍子	yên ngựa
鞍	yên ngựa
托尔托拉	Tortola
碲	telu
碲	telua
氙	xenon
铯	xezi
铯	xêzi
白海	Bạch Hải
波罗的海	Biển Baltic
琲	chuỗi hạt
璎	chuỗi hạt
项圈	chuỗi hạt
项链	chuỗi hạt
弥诺陶洛斯	Minotaur
北回归线	chí tuyến Bắc
M61火神式机关炮	M61 Vulcan
布鲁日俱乐部	Club Brugge K.V.
缝纫机	máy may
周文王	Chu Văn Vương
我	của tôi
我	tôi
己亥	Kỷ Hợi
乙亥	Ất Hợi
御夫座	Ngự Phu
甲壳虫	Con bọ
螽斯科	Họ Muỗm
工党	Đảng Lao Động Anh
胡桃	Họ Óc chó
卡塔尔	Qatar
任教	học tập
传人	học tập
传授	học tập
启发	học tập
执教	học tập
授	học tập
授课	học tập
教	học tập
教书	học tập
教会	học tập
教导	học tập
教育	học tập
管教	học tập
训	học tập
讲授	học tập
讲课	học tập
诲	học tập
调教	học tập
上索恩省	Haute-Saône
玉米片	bánh bột ngô nướng
粟米片	bánh bột ngô nướng
选项卡浏览	duyệt với nhãn đính
选项卡集	bộ các tab
选项卡	tab
宗喀巴	Tông-khách-ba
杅	vu
出租汽车	taxi
出租汽车	xe tắc xi
出租车	taxi
出租车	xe tắc xi
的士	taxi
的士	xe tắc xi
计程车	taxi
计程车	xe tắc xi
成份	thành phần
因素	thành phần
材料	thành phần
成分	thành phần
宽	Kiểu xuống dòng thoáng
勋章	huy chương
勋章	mề đay
勳章	huy chương
勳章	mề đay
奖章	huy chương
奖章	mề đay
抗	chống
反对	chống
反	chống
非	chống
拔婆跋摩一世	Bhavavarman I
銹	rỉ sét
锈	rỉ sét
本子	vở
字帖	vở
太阳能	năng lượng Mặt Trời
血液	máu
北马里亚纳群岛	Quần đảo Bắc Mariana
销售	bán
工资	lương tháng
工资	lương
薪金	lương tháng
薪金	lương
薪水	lương tháng
薪水	lương
达尼埃尔·帕萨雷拉	Daniel Passarella
腔	xoang
山羊	con dê
云雀	Họ Ô tác
马其顿足球协会	Liên đoàn bóng đá Macedonia
车	xe
大主教	tổng giám mục
废物	rác
破烂	rác
垃圾	rác
三	tam
矛	giáo
长矛	giáo
战士	quân nhân
剑	gươm
劍	gươm
枪	súng
沸腾	sôi
烧开	sôi
做菜	nấu
烧菜	nấu
做饭	nấu
烧	nấu
煮	nấu
烹调	nấu
粮	bánh mì
炉子	lò
前	tiền
劳动阶级	giai cấp vô sản
劳动阶级	giai cấp công nhân
工人阶级	giai cấp vô sản
工人阶级	giai cấp công nhân
氙	xenon
兹拉坦·伊布拉希莫维奇	Zlatan Ibrahimovic
悍	hãn
悋	lẫn
君士坦丁堡	Constantinopolis
乔治亚	Georgia
乔治亚	Giê óc gi a
乔治亚	Gru-di-a
乔治亚	Gruzia
佐治亚州	Georgia
佐治亚州	Giê óc gi a
佐治亚州	Gru-di-a
佐治亚州	Gruzia
格鲁吉亚	Georgia
格鲁吉亚	Giê óc gi a
格鲁吉亚	Gru-di-a
格鲁吉亚	Gruzia
太子港	Port-au-Prince
白俄罗斯	Bê La Rut
玄奘	Huyền Trang
美	của Mỹ
美	Mỹ
美	của Hoa Kỳ
美国	của Mỹ
美国	Mỹ
美国	của Hoa Kỳ
亚美利加洲	Mỹ Lợi Gia
亚美利加洲	Châu Mỹ
亚美利加洲	Mỹ
美洲	Mỹ Lợi Gia
美洲	Châu Mỹ
美洲	Mỹ
书法	thư pháp
笔迹	thư pháp
写法	thư pháp
笔法	thư pháp
大	rộng
有用	có ích
有用	có ích
有用	có ích
有用	có ích
取得	đạt được
获得	đạt được
对象链接与嵌入	móc nối và nhúng đối tượng
听见	nghe
听	nghe
法国高速列车	TGV
金浦国际机场	Sân bay quốc tế Gimpo
塔吉克斯坦卢布	Đồng Rúp Tajikistan
技术性	công nghệ
呼吸	hô hấp
气息	hô hấp
快捷菜单	menu lối tắt
圣徒	thánh
圣者	thánh
活菩萨	thánh
吘	ngỏ
到这儿	bên này
到这儿	đây
这里	tại đây
这儿	tại đây
孟尝君	Mạnh Thường Quân
物体	thể
镜子	gương
南越国	Nam Việt
约翰·泰勒	John Tyler
埣	giót
域	vực
手指甲	móng tay
手指甲	móng
指甲	móng tay
指甲	móng
罗马尼亚语	Tiếng Ru-ma-ni
北极星	Sao Bắc cực
貅	hươu
裴	bùi
危急	tuyệt vọng
不安全	nguy hiểm
危险	nguy hiểm
阽	nguy hiểm
陧	nguy hiểm
打印设备	thiết bị in
肝脏	gan
马戏场	xiệc
马戏场	xiếc
马戏团	xiệc
马戏团	xiếc
杂技场	xiệc
杂技场	xiếc
十八	mười tám
版权	bản quyền
痢	lị
机会	cơ hội
长治市	Trường Trị
伦勃朗	Rembrandt
熊	con gấu
大麦	lúa mạch
床	cái giường
胡子	râu
鸟	con chim
大	lớn
大	to
河	sông
江	sông
河流	sông
阴户	âm vật
阴道	âm vật
肠子	ruột
脏	ruột
脏器	ruột
脏腑	ruột
腸子	ruột
腰	eo
臀部	hông
髋	hông
腰	hông
髖	hông
屁股	mông
腱	gân
睾丸	hòn dái
睾丸	tinh hoàn
阴茎	dương vật
琉	lưu
琉	lưu
理	lí
理	lí
胆	đảm
斯洛文尼亚	Slovenia
安慰	sự an ủi
阿拉帕霍文	Tiếng Arapaho
