'ad		1. (pron) Connacht form of agat	alt-of connacht
abrainn		1. (verb) inflection of abair:<br />2. (verb) first-person singular past habitual dependent<br />3. (verb) first-person singular past subjunctive	archaic dependent first-person form-of habitual munster past singular subjunctive
abrair		1. (verb) inflection of abair:<br />2. (verb) second-person singular present indicative dependent<br />3. (verb) second-person singular present subjunctive	archaic dependent form-of indicative munster present second-person singular subjunctive
abrann		1. (verb) analytic present indicative dependent of abair	analytic archaic dependent form-of indicative munster present
abraím		1. (verb) first-person singular present indicative dependent of abair	dependent first-person form-of indicative munster present singular
abraíodh		1. (verb) variant analytic past habitual dependent of abair	analytic dependent form-of habitual past variant
abraíonn		1. (verb) variant present dependent of abair	dependent form-of present variant
abróchadh		1. (verb) conditional dependent autonomous of abair	archaic autonomous conditional dependent form-of
abróchaidh		1. (verb) future dependent analytic of abair	analytic archaic dependent form-of future
abróchaimid		1. (verb) first-person plural future dependent of abair	archaic dependent first-person form-of future plural
abróchaimis		1. (verb) first-person plural conditional dependent of abair	archaic conditional dependent first-person form-of plural
abróchainn		1. (verb) first-person singular conditional dependent of abair	archaic conditional dependent first-person form-of singular
abróchar		1. (verb) future dependent autonomous of abair	archaic autonomous dependent form-of future
abróchas		1. (verb) future indirect relative of abair	archaic form-of future indirect relative
abróchaí		1. (verb) conditional dependent autonomous of abair	archaic autonomous conditional dependent form-of
abróchthá		1. (verb) second-person singular conditional dependent of abair	archaic conditional dependent form-of second-person singular
abród		1. (verb) first-person singular future dependent of abair	archaic dependent first-person form-of future munster singular
abródh		1. (verb) conditional dependent analytic of abair	analytic archaic conditional dependent form-of munster
abrófar		1. (verb) future dependent autonomous of abair	archaic autonomous dependent form-of future munster
abrófaí		1. (verb) conditional dependent autonomous of abair	archaic autonomous conditional dependent form-of munster
abrófá		1. (verb) second-person singular conditional dependent of abair	archaic conditional dependent form-of munster second-person singular
abróid		1. (verb) third-person plural future dependent of abair	archaic dependent form-of future munster plural third-person
abróidh		1. (verb) future dependent analytic of abair	analytic archaic dependent form-of future munster
abróidís		1. (verb) third-person plural conditional dependent of abair	archaic conditional dependent form-of munster plural third-person
abróimid		1. (verb) first-person plural future dependent of abair	archaic dependent first-person form-of future munster plural
abróimis		1. (verb) first-person plural conditional dependent of abair	archaic conditional dependent first-person form-of munster plural
abróinn		1. (verb) first-person singular conditional dependent of abair	archaic conditional dependent first-person form-of munster singular
abróir		1. (verb) second-person singular future dependent of abair	archaic dependent form-of future munster second-person singular
abrós		1. (verb) future dependent relative of abair	archaic dependent form-of future munster relative
absalóid		1. (noun) (the) absolute<br />2. (noun) alternative form of aspalóid (“absolution”)	alt-of alternative feminine topic-philosophy
absalóideach		1. (adj) absolute<br />2. (adj) absolutist<br />3. (noun) absolutist	masculine
absalóideachas		1. (noun) absolutism	masculine
absalóideacht		1. (noun) absoluteness	feminine
abstaine		1. (noun) alternative form of abstanaid (“abstinence”)	alt-of alternative feminine literary
abstal		1. (noun) alternative form of aspal (“apostle”)	alt-of alternative masculine
abstalda		1. (adj) alternative form of aspalda (“apostolic, apostolical”)	alt-of alternative
abstanaid		1. (noun) abstinence	feminine literary
abuil		1. (adv) alternative form of bail	alt-of alternative
abóraidh		1. (verb) future dependent analytic of abair	analytic dependent form-of future nonstandard
abú		1. (intj) hooray, up with, forever<br />EXAMPLE: Corcaigh abú!: Cork forever!<br />2. (noun) verbal noun of abaigh	form-of masculine noun-from-verb
abúil		1. (adj) synonym of aibí	
abúile		1. (noun) aboulia	feminine topic-psychiatry
abúlacht		1. (noun) synonym of aibíocht	feminine
aca		1. (pron) superseded spelling of acu	alt-of archaic
acadamh		1. (noun) academy	masculine
acadamhaí		1. (noun) academician	masculine topic-people
acadúil		1. (adj) academic	
acainít		1. (noun) aconite	feminine topic-poisons
acaire		1. (noun) alternative form of acra (“acre”)<br />2. (noun) alternative form of acra (“tool, implement; service, convenience”)<br />3. (noun) alternative form of ancaire (“anchor”)	alt-of alternative masculine
acairíneach		1. (adj) acarian<br />2. (noun) acarian	masculine not-comparable
acais		1. (noun) alternative form of aicis (“spite, rancor, venom”)	alt-of alternative feminine
acaiseach		1. (adj) alternative form of aiciseach	alt-of alternative
acaistear		1. (noun) alternative form of acastóir (“axle”)	alt-of alternative masculine
acalaí		1. (noun) acolyte	masculine topic-christianity topic-people
acant-		1. (prefix) alternative form of acanta-, used before a vowel.	alt-of alternative morpheme
acanta-		1. (prefix) acanth(o)-	morpheme
acantai-		1. (prefix) alternative form of acanta-, used before a slender consonant.	alt-of alternative morpheme
acantas		1. (noun) acanthus (plant)	masculine topic-acanthus-family-plants
acantóideach		1. (adj) acanthoid	
acaoineach		1. (adj) alternative form of acaointeach (“plaintive, doleful”)	alt-of alternative
acaoineadh		1. (noun) doleful crying<br />2. (noun) complaint, lamentation	masculine
acaointeach		1. (adj) plaintive, doleful	
acar		1. (noun) alternative form of acra (“tool, implement; service, convenience”)	alt-of alternative masculine
acarach		1. (adj) alternative form of acrach (“handy, useful; hungry”)	alt-of alternative
acarsóid		1. (noun) anchorage	feminine topic-sailing
acasan		1. (pron) superseded spelling of acusan	alt-of archaic
acastóir		1. (noun) axle	masculine topic-vehicles
acastóir cromáin		1. (noun) crank-axle	masculine topic-engineering topic-mechanics
acastóra		1. (noun) genitive singular of acastóir (“axle”)	form-of genitive masculine singular
acfainn		1. (noun) alternative form of acmhainn (“capacity, endurance; means, resources; equipment, gear”)	alt-of alternative feminine
acfuinn		1. (noun) alternative form of acmhainn (“capacity, endurance; means, resources; equipment, gear”)	alt-of alternative feminine
ach		1. (conj) but<br />2. (prep) except, but<br />3. (adv) but, only, merely<br />4. (intj) ah! och! ugh!	triggers-no-mutation
ach amháin		1. (prep) except<br />EXAMPLE: Ní raibh rud ar bith sa chupard ach amháin canna pónairí: There was nothing in the cupboard except a tin of beans.	triggers-no-mutation
ach oiread		1. (adv) either (as well after a negative)<br />EXAMPLE: Níl Breatnais ar bith agam ach oiread.: I don't speak Welsh at all either.	
achadh		1. (noun) field	archaic masculine
achaine		1. (noun) alternative form of achainí (“request, entreaty, petition”)	alt-of alternative feminine
achainigh		1. (verb) entreat, petition (ar dhuine (“someone”))	transitive
achainí		1. (noun) verbal noun of achainigh<br />2. (noun) request, entreaty, petition<br />3. (noun) plural of achaine	feminine form-of noun-from-verb plural
achainíoch		1. (adj) petitioning; importunate<br />2. (noun) petitioner	masculine topic-law
achair		1. (verb) beseech<br />2. (noun) vocative/genitive singular of achar (“distance, journey; extent; area; period of time”)	masculine singular transitive
achairt		1. (noun) verbal noun of achair<br />2. (noun) petition	feminine form-of noun-from-verb
achan		1. (det) alternative form of gach aon (“each, every”)	alt-of alternative
achar		1. (noun) distance, extent<br />EXAMPLE: ḱē n t-axr̥, ə tā ən drehəd šin æš šo?: How far is that bridge from here?<br />2. (noun) period of time<br />EXAMPLE: ə wakə tū n bĭaiəx ūd lomsə, a çȧn̄ə mē tā axr̥ gȧŕəȷ?: Did you see that cow of mine that I bought a short time ago?<br />3. (noun) area	masculine topic-geometry
achartha		1. (noun) genitive singular of achairt (“petition”)<br />2. (verb) past participle of achair (“beseech”)	feminine form-of genitive participle past singular
achasán		1. (noun) reproach, insult<br />EXAMPLE: Ceapaim gur thug sé achasán dom.: I think that he reproached me.	masculine
achasánach		1. (adj) reproachful, censorious, taunting	
achasánacha		1. (adj) nominative/vocative/dative/strong genitive plural of achasánach (“reproachful, censorious, taunting”)	dative form-of genitive nominative plural strong vocative
achasánaigh		1. (adj) inflection of achasánach (“reproachful, censorious, taunting”):<br />2. (adj) vocative/genitive singular masculine<br />3. (adj) dative singular feminine	archaic dative feminine form-of singular
achasánaí		1. (noun) reproacher, reviler<br />2. (adj) inflection of achasánach (“reproachful, censorious, taunting”):<br />3. (adj) genitive singular feminine<br />4. (adj) comparative degree	comparative feminine form-of genitive masculine singular
achlán		1. (noun) alternative form of ochlán (“sigh, groan; (act of) sighing, groaning, moaning, wailing; cause of sorrow, calamity”)	alt-of alternative masculine
achmair		1. (adj) alternative form of achomair (“concise, brief; summary; near, close to”)	alt-of alternative
achmhusán		1. (noun) obsolete spelling of achasán (“reproach, insult”)	alt-of masculine obsolete
achoimre		1. (noun) summary, outline<br />EXAMPLE: Tá achoimre le fáil sa bhileog seo.: A summary is available in this leaflet.<br />2. (noun) synopsis<br />3. (noun) abstract<br />4. (noun) abstraction<br />5. (noun) résumé, curriculum vitae<br />6. (adj) inflection of achomair (“concise, brief; summary; near, close to”):<br />7. (adj) genitive singular feminine<br />8. (adj) nominative/vocative/dative/strong genitive plural<br />9. (adj) comparative degree	comparative dative feminine form-of genitive nominative plural singular strong vocative
achoimrigh		1. (verb) to summarize<br />2. (verb) to recapitulate	transitive
achoimrithe		1. (verb) past participle of achoimrigh<br />2. (noun) genitive singular of achoimriú	form-of genitive participle past singular
achoimriú		1. (noun) verbal noun of achoimrigh (“summarize; recapitulate”)<br />2. (noun) summary<br />3. (noun) recapitulation	form-of masculine noun-from-verb
achoimrí		1. (noun) plural of achoimre (“summary, outline; synopsis; abstract; abstraction; résumé, curriculum vitae”)<br />2. (verb) present subjunctive of achoimrigh (“summarize; recapitulate”)	feminine form-of plural present subjunctive
achoimrím		1. (verb) first-person singular present indicative of achoimrigh<br />2. (verb) first-person singular imperative of achoimrigh	first-person form-of imperative indicative present singular
achomair		1. (adj) concise, brief<br />2. (adj) summary<br />3. (adj) near, close to	
achomaireach		1. (adj) alternative form of achomair (“concise, brief; summary; near, close to”)	alt-of alternative
achomaireacht		1. (noun) conciseness, brevity<br />2. (noun) abstract	feminine
achomharc		1. (noun) verbal noun of achomharc<br />2. (noun) appeal<br />3. (verb) appeal	form-of masculine noun-from-verb topic-law transitive
achomharcach		1. (adj) appellant	topic-law
achomharcóir		1. (noun) appellant	masculine topic-law topic-people
achrann		1. (noun) tangled growth; tangle, entanglement<br />2. (noun) quarrelling, strife<br />3. (verb) present indicative analytic of achair	analytic form-of indicative masculine present
achrannach		1. (adj) entangled, intricate<br />2. (adj) quarrelsome (of person)<br />3. (adj) rocky, difficult (of terrain)	
achrannaí		1. (noun) intricateness<br />2. (noun) quarrelsomeness<br />3. (noun) fractiousness (of group)<br />4. (noun) deviousness, trickiness<br />5. (adj) inflection of achrannach (“entangled, intricate; quarrelsome; rocky, difficult”):<br />6. (adj) genitive singular feminine<br />7. (adj) comparative degree	comparative feminine form-of genitive singular
acht		1. (noun) decree, enactment<br />2. (noun) compact<br />3. (noun) condition<br />4. (conj) obsolete spelling of ach (“but”)<br />5. (prep) obsolete spelling of ach (“except, but”)<br />6. (adv) obsolete spelling of ach (“but, only, merely”)<br />7. (noun) doubt, uncertainty	alt-of masculine obsolete triggers-no-mutation
achta		1. (noun) genitive singular of acht	form-of genitive masculine singular
achtachán		1. (noun) enactment	masculine
achtaigh		1. (verb) enact, decree, legislate, ordain	topic-law topic-politics transitive
achtainiam		1. (noun) actinium	masculine topic-chemical-elements
achtan-		1. (prefix) alternative form of achtana-, used before a vowel.	alt-of alternative morpheme
achtana-		1. (prefix) actino-	morpheme topic-physics
achtanach		1. (adj) actinic	not-comparable
achtanai-		1. (prefix) alternative form of achtana-, used before a slender consonant.	alt-of alternative morpheme
